TPA,Horizontal,Vertical
0.0,0.03,1.0
0.0,3.75,0.63
0.0,3.81,0.64
0.0,3.87,0.64
0.0,3.93,0.65
0.0,3.97,0.66
0.0,4.03,0.66
0.0,4.1,0.67
0.0,4.17,0.68
0.0,4.23,0.69
0.0,4.29,0.7
0.0,4.35,0.7
0.0,4.41,0.71
0.0,4.47,0.73
0.0,4.51,0.73
0.0,4.57,0.74
0.0,4.63,0.75
0.0,4.67,0.76
0.0,4.73,0.77
0.0,4.78,0.78
0.0,4.85,0.8
0.0,4.92,0.81
0.0,4.96,0.82
0.0,5.01,0.83
0.0,3.68,0.63
0.0,3.61,0.63
0.0,3.53,0.62
0.0,3.47,0.61
0.0,1.79,0.67
0.0,1.87,0.66
0.0,1.94,0.66
0.0,2.02,0.65
0.0,2.09,0.64
0.0,2.15,0.64
0.0,2.21,0.63
0.0,2.28,0.62
0.0,2.38,0.62
0.0,2.44,0.62
0.0,2.52,0.61
0.0,5.04,0.84
0.0,2.6,0.61
0.0,2.71,0.61
0.0,2.78,0.6
0.0,2.89,0.59
0.0,2.95,0.59
0.0,3.02,0.6
0.0,3.09,0.6
0.0,3.15,0.6
0.0,3.22,0.6
0.0,3.3,0.59
0.0,3.36,0.6
0.0,3.4,0.6
0.0,2.65,0.61
0.0,1.72,0.69
0.0,5.1,0.85
0.0,5.19,0.87
0.0,6.39,1.11
0.0,6.41,1.11
0.0,6.45,1.11
0.0,6.47,1.11
0.0,6.51,1.1
0.0,6.55,1.1
0.0,6.58,1.11
0.0,6.61,1.1
0.0,6.64,1.1
0.0,6.67,1.1
0.0,6.7,1.1
0.0,6.73,1.09
0.0,6.75,1.08
0.0,6.77,1.08
0.0,6.81,1.07
0.0,6.84,1.06
0.0,6.86,1.04
0.0,6.89,1.04
0.0,6.92,1.03
0.0,6.95,1.02
0.0,6.98,1.01
0.0,7.01,1.0
0.0,7.04,0.98
0.0,6.34,1.1
0.0,6.31,1.1
0.0,6.28,1.09
0.0,6.25,1.09
0.0,5.23,0.88
0.0,5.3,0.9
0.0,5.35,0.91
0.0,5.41,0.92
0.0,5.45,0.93
0.0,5.5,0.94
0.0,5.54,0.95
0.0,5.57,0.96
0.0,5.62,0.98
0.0,5.68,0.99
0.0,5.7,0.99
0.0,5.16,0.86
0.0,5.75,1.0
0.0,5.84,1.02
0.0,5.88,1.04
0.0,5.91,1.04
0.0,5.96,1.05
0.0,5.99,1.05
0.0,6.02,1.05
0.0,6.05,1.06
0.0,6.1,1.08
0.0,6.14,1.08
0.0,6.18,1.08
0.0,6.23,1.09
0.0,5.78,1.01
0.0,7.06,0.97
0.0,1.64,0.7
0.0,1.5,0.72
0.0,7.01,1.23
0.0,7.04,1.22
0.0,7.07,1.21
0.0,7.08,1.21
0.0,7.12,1.21
0.0,7.14,1.2
0.0,7.16,1.2
0.0,7.19,1.19
0.0,7.22,1.18
0.0,7.24,1.17
0.0,7.26,1.15
0.0,7.29,1.15
0.0,7.31,1.13
0.0,7.34,1.12
0.0,7.36,1.11
0.0,7.39,1.09
0.0,7.4,1.08
0.0,7.43,1.06
0.0,7.46,1.05
0.0,7.49,1.04
0.0,7.51,1.02
0.0,7.52,1.0
0.0,7.55,0.99
0.0,6.97,1.24
0.0,6.93,1.24
0.0,6.91,1.24
0.0,6.88,1.25
0.0,6.02,1.1
0.0,6.06,1.12
0.0,6.11,1.12
0.0,6.14,1.13
0.0,6.18,1.14
0.0,6.22,1.15
0.0,6.25,1.16
0.0,6.31,1.18
0.0,6.34,1.18
0.0,6.39,1.18
0.0,6.42,1.19
0.0,7.56,0.97
0.0,6.45,1.2
0.0,6.52,1.21
0.0,6.56,1.21
0.0,6.59,1.21
0.0,6.62,1.22
0.0,6.66,1.23
0.0,6.7,1.24
0.0,6.73,1.24
0.0,6.76,1.24
0.0,6.79,1.24
0.0,6.82,1.24
0.0,6.86,1.24
0.0,6.49,1.2
0.0,1.58,0.71
0.0,7.59,0.95
0.0,7.64,0.91
0.0,8.6,0.03
0.0,8.69,-0.01
0.0,8.73,-0.01
0.0,0.01,1.0
0.0,0.02,1.0
0.0,0.04,1.0
0.0,0.18,1.0
0.0,0.29,0.99
0.0,0.35,0.99
0.0,0.39,0.99
0.0,0.49,0.96
0.0,0.56,0.95
0.0,0.67,0.91
0.0,0.73,0.9
0.0,0.8,0.87
0.0,0.88,0.86
0.0,0.96,0.84
0.0,1.03,0.82
0.0,1.11,0.8
0.0,1.2,0.78
0.0,1.24,0.77
0.0,1.34,0.76
0.0,1.42,0.74
0.0,8.55,0.07
0.0,8.5,0.1
0.0,8.47,0.13
0.0,8.44,0.17
0.0,7.67,0.89
0.0,7.71,0.86
0.0,7.72,0.85
0.0,7.76,0.81
0.0,7.8,0.79
0.0,7.83,0.76
0.0,7.86,0.73
0.0,7.89,0.7
0.0,7.92,0.67
0.0,7.93,0.66
0.0,7.95,0.63
0.0,7.62,0.93
0.0,7.98,0.6
0.0,8.05,0.54
0.0,8.06,0.51
0.0,8.11,0.47
0.0,8.15,0.44
0.0,8.18,0.41
0.0,8.23,0.37
0.0,8.26,0.34
0.0,8.3,0.3
0.0,8.32,0.27
0.0,8.36,0.24
0.0,8.39,0.21
0.0,8.01,0.58
0.0,7.09,0.96
0.0,7.11,0.94
0.0,7.13,0.92
0.0,6.55,1.12
0.0,6.59,1.13
0.0,6.62,1.13
0.0,6.65,1.14
0.0,6.69,1.14
0.0,6.72,1.15
0.0,6.75,1.15
0.0,6.79,1.16
0.0,6.83,1.16
0.0,6.86,1.15
0.0,6.9,1.15
0.0,6.94,1.17
0.0,6.97,1.17
0.0,6.99,1.17
0.0,7.02,1.17
0.0,7.05,1.17
0.0,7.09,1.16
0.0,7.12,1.15
0.0,7.15,1.15
0.0,7.18,1.15
0.0,7.21,1.14
0.0,7.23,1.14
0.0,7.27,1.13
0.0,6.51,1.11
0.0,6.46,1.1
0.0,6.43,1.1
0.0,6.38,1.09
0.0,5.25,0.83
0.0,5.32,0.85
0.0,5.38,0.87
0.0,5.43,0.88
0.0,5.48,0.89
0.0,5.53,0.89
0.0,5.56,0.9
0.0,5.62,0.91
0.0,5.68,0.93
0.0,5.71,0.94
0.0,5.75,0.95
0.0,7.29,1.12
0.0,5.8,0.96
0.0,5.92,0.99
0.0,5.96,1.0
0.0,6.0,1.01
0.0,6.06,1.03
0.0,6.1,1.04
0.0,6.13,1.05
0.0,6.18,1.05
0.0,6.21,1.06
0.0,6.25,1.07
0.0,6.29,1.07
0.0,6.34,1.08
0.0,5.86,0.98
0.0,5.2,0.83
0.0,7.32,1.12
0.0,7.36,1.1
0.0,8.17,0.56
0.0,8.2,0.54
0.0,8.24,0.5
0.0,8.27,0.46
0.0,8.3,0.43
0.0,8.35,0.41
0.0,8.38,0.38
0.0,8.41,0.35
0.0,8.45,0.32
0.0,8.5,0.28
0.0,8.54,0.23
0.0,8.57,0.21
0.0,8.61,0.17
0.0,8.65,0.14
0.0,8.69,0.1
0.0,8.72,0.07
0.0,8.77,0.05
0.0,8.86,-0.04
0.0,8.89,-0.04
0.0,8.95,-0.04
0.0,8.99,-0.04
0.0,9.02,-0.04
0.0,9.07,-0.04
0.0,8.15,0.58
0.0,8.13,0.62
0.0,8.09,0.64
0.0,8.07,0.67
0.0,7.39,1.09
0.0,7.42,1.08
0.0,7.45,1.07
0.0,7.48,1.06
0.0,7.51,1.05
0.0,7.53,1.04
0.0,7.56,1.01
0.0,7.59,1.0
0.0,7.61,0.99
0.0,7.63,0.98
0.0,7.65,0.97
0.0,7.34,1.11
0.0,7.67,0.95
0.0,7.72,0.92
0.0,7.75,0.9
0.0,7.79,0.88
0.0,7.83,0.86
0.0,7.85,0.83
0.0,7.88,0.81
0.0,7.9,0.79
0.0,7.94,0.76
0.0,7.96,0.73
0.0,8.01,0.71
0.0,8.03,0.68
0.0,7.7,0.93
0.0,5.15,0.82
0.0,5.09,0.81
0.0,5.02,0.79
0.0,8.09,0.08
0.0,8.11,0.05
0.0,8.14,0.02
0.0,8.19,-0.02
0.0,8.23,-0.06
0.0,8.27,-0.09
0.0,8.3,-0.11
0.0,8.35,-0.12
0.0,8.4,-0.12
0.0,8.44,-0.11
0.0,0.01,1.0
0.0,0.03,1.0
0.0,0.12,1.01
0.0,0.22,1.01
0.0,0.31,1.0
0.0,0.38,1.0
0.0,0.45,0.98
0.0,0.54,0.96
0.0,0.61,0.94
0.0,0.72,0.91
0.0,0.8,0.88
0.0,0.9,0.85
0.0,0.97,0.83
0.0,8.05,0.12
0.0,8.0,0.17
0.0,7.95,0.21
0.0,7.92,0.25
0.0,7.16,0.9
0.0,7.18,0.88
0.0,7.22,0.86
0.0,7.24,0.85
0.0,7.26,0.83
0.0,7.3,0.79
0.0,7.32,0.78
0.0,7.33,0.77
0.0,7.36,0.75
0.0,7.38,0.72
0.0,7.39,0.7
0.0,1.03,0.82
0.0,7.41,0.67
0.0,7.5,0.59
0.0,7.55,0.57
0.0,7.57,0.53
0.0,7.64,0.5
0.0,7.68,0.47
0.0,7.72,0.44
0.0,7.75,0.41
0.0,7.79,0.37
0.0,7.8,0.34
0.0,7.85,0.31
0.0,7.88,0.28
0.0,7.45,0.63
0.0,1.1,0.8
0.0,1.18,0.79
0.0,1.26,0.77
0.0,3.5,0.6
0.0,3.58,0.61
0.0,3.64,0.61
0.0,3.71,0.62
0.0,3.77,0.62
0.0,3.82,0.63
0.0,3.91,0.63
0.0,3.98,0.63
0.0,4.05,0.64
0.0,4.11,0.65
0.0,4.18,0.66
0.0,3.42,0.6
0.0,4.27,0.67
0.0,4.38,0.69
0.0,4.44,0.7
0.0,4.5,0.7
0.0,4.53,0.71
0.0,4.64,0.72
0.0,4.7,0.72
0.0,4.75,0.74
0.0,4.8,0.75
0.0,4.86,0.76
0.0,4.92,0.77
0.0,4.97,0.77
0.0,4.33,0.68
0.0,5.98,1.09
0.0,3.38,0.59
0.0,3.22,0.6
0.0,1.34,0.76
0.0,1.43,0.74
0.0,1.49,0.73
0.0,1.58,0.71
0.0,1.68,0.69
0.0,1.77,0.68
0.0,1.85,0.67
0.0,1.92,0.67
0.0,1.99,0.66
0.0,2.07,0.65
0.0,2.14,0.64
0.0,3.31,0.59
0.0,2.22,0.63
0.0,2.37,0.62
0.0,2.45,0.61
0.0,2.54,0.61
0.0,2.62,0.61
0.0,2.65,0.61
0.0,2.78,0.6
0.0,2.86,0.6
0.0,2.95,0.6
0.0,3.01,0.6
0.0,3.07,0.59
0.0,3.14,0.59
0.0,2.31,0.62
0.0,5.95,1.08
0.0,7.43,0.65
0.0,5.84,1.05
0.0,9.56,1.35
0.0,9.56,1.32
0.0,9.56,1.3
0.0,9.58,1.29
0.0,9.59,1.28
0.0,9.59,1.25
0.0,9.59,1.23
0.0,9.6,1.22
0.0,9.61,1.2
0.0,9.63,1.18
0.0,9.65,1.16
0.0,9.65,1.13
0.0,9.67,1.11
0.0,9.66,1.1
0.0,9.66,1.08
0.0,9.67,1.06
0.0,9.69,1.03
0.0,9.69,1.01
0.0,9.69,0.98
0.0,9.71,0.96
0.0,9.72,0.93
0.0,9.72,0.91
0.0,9.73,0.87
0.0,9.55,1.36
0.0,9.52,1.36
0.0,9.5,1.37
0.0,9.49,1.37
0.0,9.12,1.37
0.0,9.14,1.37
0.0,9.16,1.38
0.0,9.21,1.4
0.0,9.25,1.41
0.0,9.29,1.42
0.0,9.31,1.44
0.0,9.29,1.43
0.0,9.29,1.43
0.0,9.31,1.41
0.0,9.31,1.41
0.0,9.73,0.84
0.0,9.34,1.42
0.0,9.35,1.42
0.0,9.35,1.42
0.0,9.35,1.42
0.0,9.37,1.4
0.0,9.39,1.4
0.0,9.39,1.4
0.0,9.41,1.4
0.0,9.42,1.4
0.0,9.43,1.39
0.0,9.44,1.38
0.0,9.47,1.38
0.0,9.33,1.41
0.0,9.1,1.36
0.0,9.74,0.81
0.0,9.76,0.75
0.0,1.48,0.73
0.0,1.61,0.71
0.0,1.73,0.68
0.0,1.9,0.65
0.0,2.01,0.63
0.0,2.13,0.6
0.0,2.21,0.58
0.0,2.33,0.55
0.0,2.45,0.53
0.0,2.58,0.51
0.0,2.7,0.49
0.0,2.82,0.47
0.0,2.99,0.44
0.0,3.11,0.42
0.0,3.25,0.41
0.0,3.31,0.4
0.0,3.42,0.38
0.0,3.55,0.37
0.0,3.68,0.36
0.0,3.81,0.34
0.0,3.91,0.33
0.0,4.02,0.32
0.0,4.15,0.31
0.0,1.36,0.76
0.0,1.25,0.79
0.0,1.13,0.82
0.0,1.01,0.86
0.0,9.76,0.72
0.0,9.76,0.7
0.0,9.77,0.67
0.0,9.79,0.66
